Rank,Repo,Total Invocations (12mo),Function Count,Functions (sample)
43,etl-fdr-north-parsing-script,"1,236,037",7,"etl-fdr-north-parsing-script-production-checkReports, etl-fdr-north-parsing-script-production-sendAchsToMrRobot, etl-fdr-north-parsing-script-production-createDailyDetailInt (+4 more)"
44,mrrobot-labs/payment-checkout-connector,"1,124,365",1,payment-checkoutNas-connector-prod
45,mrrobot-labs/payment-aci-connector,"967,094",3,"payment-aciAuto-connector-prod, payment-aciPlanet-connector-prod, payment-aciPlanetMcp-connector-prod"
46,emvio-subscription,"857,527",10,"emvio-subscription-production-updateSubscription, emvio-subscription-production-getSubscription, emvio-subscription-production-runManualSubscriptionsByDate (+7 more)"
47,emvio-ach,"757,873",4,"emvio-ach-production-getAchSummary, emvio-ach-production-databaseUpdates, emvio-ach-production-achSanityCheck (+1 more)"
48,emvio-batch-service,"704,617",4,"emvio-batch-service-production-getBatch, emvio-batch-service-production-brokerBatchCreate, emvio-batch-service-production-getBatches (+1 more)"
49,emvio-billing,"616,481",7,"emvio-billing-production-getUserCostSchedule, emvio-billing-production-brokerBillingHandle, emvio-billing-production-getAccountFeeSchedules (+4 more)"
50,mrrobot-labs/payment-authorize-connector,"608,228",1,payment-authorize-connector-prod
51,mrrobot-labs/payment-openpay-connector,"585,327",1,payment-openpay-connector-prod
52,emvio-changelog-service,"577,630",2,"emvio-changelog-service-production-getChangelogs, emvio-changelog-service-production-brokerChangelogCreate"
53,mrrobot-labs/payment-mrrobot-connector,"562,414",3,"payment-mrrobotAsync-connector-prod, payment-mrrobot-connector-prod, payment-mrrobotAuto-connector-prod"
54,online-application-service,"523,542",14,"online-application-service-production-getMerchantApplications, online-application-service-production-createApplication, online-application-service-production-createMerchantApplication (+11 more)"
55,mrrobot-labs/payment-propay-connector,"415,261",2,"payment-proPay-connector-prod, payment-proPayCanada-connector-prod"
56,mrrobot-labs/payment-stripe-connector,"405,214",1,payment-stripe-connector-prod
57,emvio-email-service,"280,216",4,"emvio-email-service-production-feedback, emvio-email-service-production-sendEmailFromSns, emvio-email-service-production-handleCognitoEmails (+1 more)"
58,cforce-auth,"180,961",11,"cforce-auth-production-refreshToken, cforce-auth-production-authenticate, cforce-auth-production-changePassword (+8 more)"
59,mrrobot-labs/payment-red-dot-connector,"159,657",1,payment-red-dot-connector-prod
60,mrrobot-labs/bastion-ec2-ami,"113,066",2,"mrrobot-self-hosted-runner-autoscaler-prod, mrrobot-self-hosted-runner-autoscaler-pci-prod"
61,etl-merchant-script,"104,578",2,"etl-merchant-script-production-migrateMerchantInfo, etl-merchant-script-production-migrateMerchantByIdSuper"
62,etl-audit-script,"103,686",1,etl-audit-script-production-getBucketAudit
63,emvio-monitoring,"103,685",1,emvio-monitoring-production-checkBrokerCounts
64,mrrobot-s3-filescanner-ue1,"78,655",2,"mrrobot-s3-filescanner-ue1-prod-prod-custom-resource-existing-s3, mrrobot-s3-filescanner-ue1-prod"
65,emvio-report,"71,173",5,"emvio-report-production-getStatements, emvio-report-production-databaseUpdates, emvio-report-production-getStatement (+2 more)"
66,etl-fdr-post-parse,"70,398",2,"etl-fdr-post-parse-production-postParser, etl-fdr-post-parse-production-updateSyntheticMerchantStatus"
67,mrrobot-labs/mrrobot-get-tsys-raw-files,"66,018",2,"mrrobot-get-tsys-raw-files-directory-listing-prod, mrrobot-get-tsys-raw-files-start-transfers-prod"
68,aws-utility,"53,016",7,"aws-utility-production-checkLambdaRetry, aws-utility-production-checkLambdaTriggers, aws-utility-production-dynamoBackupCleanup (+4 more)"
69,etl-fdr-ndf-service,"43,564",3,"etl-fdr-ndf-service-production-getDailyFDR-NDF, etl-fdr-ndf-service-production-brokerNextDayFunding, etl-fdr-ndf-service-production-transferNdfToCbcal"
70,apm-citcon-provider,"40,685",2,"apm-citcon-provider-production-runCitconPaypal, apm-citcon-provider-production-runCitconAfterpay"
71,mrrobot-labs/mrrobot-connector-hub,"40,483",1,mrrobot-connector-hub-rest-prod
72,etl-fdr-parse,"39,409",3,"etl-fdr-parse-production-databaseUpdates, etl-fdr-parse-production-fdrFileListener, etl-fdr-parse-production-checkReports"
73,etl-pci-compliance-script,"38,956",2,"etl-pci-compliance-script-production-remaskRawFiles, etl-pci-compliance-script-production-getTsysRawFiles"
74,emvio-binary,"38,383",2,"emvio-binary-production-getDispute, emvio-binary-production-getStatement"
75,etl-pci-fdr-get-reports,"34,639",3,"etl-pci-fdr-get-reports-production-rerunReports, etl-pci-fdr-get-reports-production-getFDRMassMonthlyReport, etl-pci-fdr-get-reports-production-getReports"
76,cforce-email-service,"33,937",1,cforce-email-service-production-sendEmailFromSns
77,apm-openpay-provider,"22,142",1,apm-openpay-provider-production-runCodi
78,etl-batch-script,"15,165",3,"etl-batch-script-production-getFdrBatches, etl-batch-script-production-getTsysBatches, etl-batch-script-production-getFdrNorthBatches"
79,mrrobot-labs/cast-quickbooks-service,"11,577",1,mrrobot-cast-integration-quickbooks-prod
80,etl-legacy,"11,267",3,"etl-legacy-production-ofacXML, etl-legacy-production-updateBatches, etl-legacy-production-updateOpenBatches"
81,mrrobot-labs/mrrobot-threatintel-automation,"10,129",1,mrrobot-threatintel-automation-prod
82,emvio-residuals,"3,884",4,"emvio-residuals-production-databaseUpdates, emvio-residuals-production-createFakeResiduals, emvio-residuals-production-getResidualSummary (+1 more)"
